AZZANELLO,CR,Lombardia,19107,17964
AZZANO D'ASTI,AT,Piemonte,20906,19255
AZZANO SAN PAOLO,BG,Lombardia,22145,20269
AZZANO MELLA,BS,Lombardia,20488,19466
AZZANO DECIMO,PN,Friuli Venezia Giulia,20951,19654
AZZATE,VA,Lombardia,25061,23099
AZZIO,VA,Lombardia,20454,19196
AZZONE,BG,Lombardia,16416,14497
BACENO,VB,Piemonte,17248,16116
BACOLI,NA,Campania,16324,14543
BADALUCCO,IM,Liguria,16160,14702
BADIA .ABTEI.,BZ,Trentino Alto Adige(P.A.Bolzano),24867,19852
BADIA PAVESE,PV,Lombardia,17330,15862
BADIA POLESINE,RO,Veneto,18253,16985
BADIA CALAVENA,VR,Veneto,18381,16165
BADIA TEDALDA,AR,Toscana,14522,13033
BADOLATO,CZ,Calabria,12038,9942
BAGALADI,RC,Calabria,12403,10703
BAGHERIA,PA,Sicilia,14896,12856
BAGNACAVALLO,RA,Emilia Romagna,19567,18368
BAGNARIA,PV,Lombardia,19619,18021
BAGNARA DI ROMAGNA,RA,Emilia Romagna,22007,20477
BAGNARA CALABRA,RC,Calabria,15060,13072
BAGNARIA ARSA,UD,Friuli Venezia Giulia,19634,18529
BAGNASCO,CN,Piemonte,18688,17368
BAGNATICA,BG,Lombardia,22099,20237
BAGNI DI LUCCA,LU,Toscana,15494,14082
MONTECATINI-TERME,PT,Toscana,18951,16865
SAN GIULIANO TERME,PI,Toscana,22445,21244
BAGNO A RIPOLI,FI,Toscana,24658,22491
BAGNO DI ROMAGNA,FC,Emilia Romagna,18002,16206
BAGNOLI IRPINO,AV,Campania,13246,11685
BAGNOLI DEL TRIGNO,IS,Molise,11458,9448
BAGNOLI DI SOPRA,PD,Veneto,17882,16416
BAGNOLO MELLA,BS,Lombardia,20502,18744
BAGNOLO CREMASCO,CR,Lombardia,20257,18956
BAGNOLO PIEMONTE,CN,Piemonte,17719,16461
BAGNOLO DEL SALENTO,LE,Puglia,13098,11159
BAGNOLO IN PIANO,RE,Emilia Romagna,21601,20339
BAGNOLO DI PO,RO,Veneto,16602,15204
BAGNOLO SAN VITO,MN,Lombardia,19424,17993
BAGNONE,MS,Toscana,18061,16357
BAGNOREGIO,VT,Lazio,16501,15110
BAGOLINO,BS,Lombardia,18155,16424
BAIA E LATINA,CE,Campania,13017,11196
BAIANO,AV,Campania,16232,14539
BAIARDO,IM,Liguria,12422,10096
BAIRO,TO,Piemonte,19942,17928
BAISO,RE,Emilia Romagna,23556,20302
BALANGERO,TO,Piemonte,21157,20225
BALDICHIERI D'ASTI,AT,Piemonte,18812,17805
BALDISSERO D'ALBA,CN,Piemonte,19555,18471
BALDISSERO CANAVESE,TO,Piemonte,19135,17925
BALDISSERO TORINESE,TO,Piemonte,29970,28088
BALESTRATE,PA,Sicilia,12821,10780
BALESTRINO,SV,Liguria,17707,15888
BALLABIO,LC,Lombardia,22601,21203
BALLAO,SU,Sardegna,12281,10567
BALME,TO,Piemonte,13570,11809
BALMUCCIA,VC,Piemonte,15689,13004
BALOCCO,VC,Piemonte,19038,15790
BALSORANO,AQ,Abruzzo,15248,13726
BALVANO,PZ,Basilicata,13690,11830
BALZOLA,AL,Piemonte,18324,17200
BANARI,SS,Sardegna,13073,12096
BANCHETTE,TO,Piemonte,20083,19112
VILLA VERDE,OR,Sardegna,13288,11764
BANNIO ANZINO,VB,Piemonte,14615,13814
BANZI,PZ,Basilicata,13712,12668
BAONE,PD,Veneto,22103,21171
BARADILI,OR,Sardegna,11556,9221
BARAGIANO,PZ,Basilicata,14644,12963
BARANELLO,CB,Molise,14164,12514
BARANO D'ISCHIA,NA,Campania,14339,11089
BARANZATE,MI,Lombardia,18259,16359
BARASSO,VA,Lombardia,27143,25179
BARATILI SAN PIETRO,OR,Sardegna,14129,11823
BARBANIA,TO,Piemonte,20322,18951
BARBARA,AN,Marche,19083,17126
BARBARANO ROMANO,VT,Lazio,18154,17209
BARBARESCO,CN,Piemonte,22610,20525
BARBARIGA,BS,Lombardia,18409,16697
BARBATA,BG,Lombardia,19032,17424
BARBERINO DI MUGELLO,FI,Toscana,20583,18838
BARBIANELLO,PV,Lombardia,19866,18906
BARBIANO .BARBIAN.,BZ,Trentino Alto Adige(P.A.Bolzano),22069,20459
BARBONA,PD,Veneto,18518,16692
BARCELLONA POZZO DI GOTTO,ME,Sicilia,15326,13486
BARCIS,PN,Friuli Venezia Giulia,17594,16934
BARD,AO,Valle d'Aosta,21960,21043
BARDELLO,VA,Lombardia,20792,19387
BARDI,PR,Emilia Romagna,14954,13545
BARDINETO,SV,Liguria,15175,13429
BARDOLINO,VR,Veneto,22847,19471
BARDONECCHIA,TO,Piemonte,22211,20364
BAREGGIO,MI,Lombardia,23278,21934
BARENGO,NO,Piemonte,21554,19608
BARESSA,OR,Sardegna,12247,10432
BARETE,AQ,Abruzzo,17745,16724
BARGA,LU,Toscana,19797,18703
BARGAGLI,GE,Liguria,19030,17250
BARGE,CN,Piemonte,16642,15165
BARGHE,BS,Lombardia,22881,20746
BARI,BA,Puglia,20642,19167
BARI SARDO,NU,Sardegna,15065,13457
BARIANO,BG,Lombardia,21028,19296
BARICELLA,BO,Emilia Romagna,19679,18617
BARILE,PZ,Basilicata,15422,14473
BARISCIANO,AQ,Abruzzo,16585,15349
BARLASSINA,MB,Lombardia,23011,21127
BARLETTA,BT,Puglia,14513,12583
BARNI,CO,Lombardia,17641,16490
BAROLO,CN,Piemonte,21199,18581
BARONE CANAVESE,TO,Piemonte,19250,17651
BARONISSI,SA,Campania,16839,15093
BARRAFRANCA,EN,Sicilia,11895,10003
BARRALI,SU,Sardegna,13604,12474
BARREA,AQ,Abruzzo,13542,12084
BARUMINI,SU,Sardegna,14843,13096
BARZAGO,LC,Lombardia,22198,20247
BARZANA,BG,Lombardia,21397,19776
BARZANO',LC,Lombardia,25058,22984
BARZIO,LC,Lombardia,20583,18931
BASALUZZO,AL,Piemonte,21186,20024
BASCAPE',PV,Lombardia,19894,18554
BASCHI,TR,Umbria,16725,15591
BASCIANO,TE,Abruzzo,15487,14299
BASELGA DI PINE',TN,Trentino Alto Adige(P.A.Trento),20198,18849
BASELICE,BN,Campania,10159,7947
BASIANO,MI,Lombardia,22720,21375
BASICO',ME,Sicilia,11950,9188
BASIGLIO,MI,Lombardia,45220,43674
BASILIANO,UD,Friuli Venezia Giulia,19497,18345
VASANELLO,VT,Lazio,17171,16112
BASSANO BRESCIANO,BS,Lombardia,20798,19253
BASSANO DEL GRAPPA,VI,Veneto,23040,21404
BASSANO ROMANO,VT,Lazio,17931,16695
TRONZANO LAGO MAGGIORE,VA,Lombardia,15114,12446
BASSANO IN TEVERINA,VT,Lazio,16805,15525
BASSIANO,LT,Lazio,15211,13762
BASSIGNANA,AL,Piemonte,18144,16774
BASTIA MONDOVI',CN,Piemonte,16617,14781
BASTIA UMBRA,PG,Umbria,18540,17168
BASTIDA PANCARANA,PV,Lombardia,20775,19580
BASTIGLIA,MO,Emilia Romagna,21982,20546
BATTAGLIA TERME,PD,Veneto,19788,18129
BATTIFOLLO,CN,Piemonte,15207,15187
BATTIPAGLIA,SA,Campania,16109,14341
BATTUDA,PV,Lombardia,20579,19351
BAUCINA,PA,Sicilia,11363,8913
BOVILLE ERNICA,FR,Lazio,13755,11996
BAULADU,OR,Sardegna,14201,13019
BAUNEI,NU,Sardegna,14130,12013
BAVENO,VB,Piemonte,21318,18208
